"clientid","currency","CountOfAllInteractions","CountOfSessions","Month","CountOfDirectSales","ValueOfDirectSales","CountOfAbandonments","ValueOfAbandonments","CountOfOnsiteRecoveries","ValueOfOnsiteRecoveries","CountOfOpen","CountOfClose","CountOfPositiveClose","CountOfNegativeClose","CountOfMissingClose"
"65396","NOK","2852","2852","2017-02","8","1349176.0","2839","3.7342574E7","1","22951.0","157","124","16","108","33"
"65396","NOK","14337","14337","2017-03","36","5901836.0","14267","1.11727765E8","6","421755.0","4447","3702","704","2998","745"
"65396","NOK","12869","12869","2017-04","202","5920042.0","12569","1.40575258E8","74","4235306.0","3602","2936","587","2349","666"
"65396","NOK","10406","10406","2017-05","524","9033470.0","9672","1.792723E7","184","5364070.0","3003","2455","536","1919","548"
"65396","NOK","10300","10300","2017-06","495","1.038497E7","9620","1.6828926E7","163","5947204.0","3115","2557","530","2027","558"
"65396","NOK","13105","13105","2017-07","711","1.0677765E7","12110","1.9602723E7","255","6617155.0","3862","3198","728","2470","664"
"65396","NOK","14026","14026","2017-08","890","1.1745966E7","12885","2.0083382E7","240","8786000.0","3421","2586","706","1880","835"
"65396","NOK","12975","12975","2017-09","869","1.5239286E7","11869","9.1477871E7","225","9121375.0","2856","2037","575","1462","819"
"65396","NOK","13523","13523","2017-10","989","1.27755E7","12383","6.493799E7","148","5741000.0","2791","1278","380","898","1513"
"65396","NOK","13224","13224","2017-11","967","1.4070535E7","12153","9.3960579E7","100","5662000.0","2661","1027","270","757","1634"
"65396","NOK","13312","13312","2017-12","555","1.0463013E7","12696","2.2914041E8","33","4230000.0","1683","645","147","498","1038"
"65396","NOK","15865","15865","2018-01","431","480000.0","15413","3.25501213E8","2","0.0","712","269","20","249","443"
"65396","NOK","4222","4222","2018-02","295","8882620.0","3899","1.5268938E7","7","805000.0","259","110","21","89","149"
"65396","NOK","7568","7568","2018-03","514","1.0752992E7","7018","1.735261E7","9","1173500.0","570","234","28","206","336"
